11
2,3,11,5,2022,13,5,2022,200,1,3,1,0,Володимир,Максим,
4,3,11,5,2022,13,5,2022,300,3,1,2,0,Максим,Володимир,
10,3,12,5,2022,13,5,2022,600,2,3,3,1,Дмитро,Володимир,
250,33,6,11,122,8,11,122,1,1,3,4,1,Max,John,
250,33,6,11,122,8,11,122,1,1,3,5,1,Max,John,
250,33,6,11,122,8,11,122,1,1,3,6,1,Max,John,
250,33,6,11,122,8,11,122,1,1,3,7,1,Max,John,
250,33,6,11,122,8,11,122,1,1,3,8,1,Max,John,
250,33,6,11,122,8,11,122,1,1,3,9,1,Max,John,
250,33,6,11,122,8,11,122,1,1,3,10,1,Max,John,
250,33,6,11,122,8,11,122,1,1,3,11,1,Max,John,
